file_name;ARTICLE_ID;QUASI_USER_ID;userneed_geef_me_context;userneed_help_me;userneed_hou_me_op_de_hoogte;userneed_raak_me_verbind_me;userneed_vermaak_me
0;6221650;5ca2ac94fb5918645a2b3eb386d15824;0.11957381;0.044533264;0.12308365;0.08426891;0.6285405
0;6221652;0319480f035fcf216149dd68cfa7fb10;0.017739477;0.002837213;0.009671224;0.96193784;0.00781424
0;6221699;08f41051f4a4c7b2f3fa728176536b04;0.7628144;0.006565137;0.12116866;0.03433455;0.07511718
0;6221703;4e66c57b61aa18b7e45e8fa743ef985c;0.61539996;0.02302798;0.100051075;0.056694284;0.20482665
0;6221742;13b3a9adbd5244105a270d4d56a46b3a;0.027910735;0.003595882;0.031106325;0.9220885;0.015298569
0;6221753;f4e52064fbd141d03c9cf04d317e6e8b;0.07931958;0.46115047;0.037039593;0.01969836;0.40279222
0;6221776;93ba947a5048dae184389ab632961bc0;0.002247357;0.95498496;0.003490555;0.005730557;0.03354662
0;6221793;c57f1e19b40975729ef94addb065b228;0.20585853;0.17376249;0.022047;0.060941808;0.53739005
0;6221798;7f07a0800cfb1654d61b7373e44d8568;0.6423039;0.018064383;0.019873463;0.15361337;0.1661448
0;6221816;1cfb85e7d42fba92ad8d01b05e481253;0.4451582;0.12436104;0.12181396;0.028075831;0.2805911
